Table with row headings in column A and column headings in row 2.,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10
WILKINSON,576.0,52483.0,19.46,34168.13,89.87,6.25,0.53,0.58,1.31,1.47
KIRBY,577.0,52473.0,19.45,34187.58,87.47,8.78,0.4,0.66,1.4,1.29
CAMERON,578.0,52439.0,19.44,34207.02,77.87,17.02,0.56,0.67,1.68,2.2
BRIDGES,579.0,52260.0,19.37,34226.39,70.46,25.54,0.37,0.52,1.67,1.45
ANTHONY,580.0,52146.0,19.33,34245.72,63.43,30.43,1.1,0.62,1.84,2.59
RICHARD,581.0,52138.0,19.33,34265.05,73.19,22.09,0.61,0.52,1.64,1.94
KIRK,582.0,52056.0,19.3,34284.34,84.75,10.42,0.41,1.3,1.69,1.44
BRUCE,583.0,52004.0,19.28,34303.62,79.85,14.99,0.53,1.02,1.73,1.87
SINGLETON,584.0,51797.0,19.2,34322.82,48.33,48.12,0.27,0.33,1.7,1.25
MATHIS,585.0,51796.0,19.2,34342.02,64.71,31.54,0.21,0.6,1.53,1.42
BRADFORD,586.0,51726.0,19.17,34361.2,67.27,28.47,0.35,0.6,1.72,1.6
BOONE,587.0,51679.0,19.16,34380.35,64.33,30.61,0.43,1.37,1.67,1.59
ABBOTT,588.0,51620.0,19.14,34399.49,91.0,4.56,0.49,0.69,1.46,1.8
CHARLES,589.0,51518.0,19.1,34418.59,38.87,47.28,0.8,2.05,3.71,7.28
ALLISON,590.0,51504.0,19.09,34437.68,83.01,12.22,0.45,1.23,1.57,1.52
SWEENEY,591.0,51500.0,19.09,34456.77,92.12,4.37,0.44,0.44,1.06,1.57
ATKINSON,592.0,51489.0,19.09,34475.86,81.73,13.0,0.41,0.54,1.35,2.97
HORN,593.0,51380.0,19.05,34494.9,86.75,8.31,0.84,1.16,1.46,1.48
JEFFERSON,594.0,51361.0,19.04,34513.94,18.72,75.24,0.25,1.85,2.38,1.57
ROSALES,595.0,51336.0,19.03,34532.97,4.19,0.35,2.55,0.24,0.44,92.23
YORK,596.0,51334.0,19.03,34552.0,87.72,7.69,0.6,0.93,1.45,1.61
CHRISTIAN,597.0,51177.0,18.97,34570.97,69.69,23.45,1.77,0.58,1.85,2.66
PHELPS,598.0,51154.0,18.96,34589.94,86.82,9.28,0.43,0.58,1.43,1.45
FARRELL,599.0,51095.0,18.94,34608.88,91.91,4.33,0.5,0.48,1.16,1.63
CASTANEDA,600.0,51089.0,18.94,34627.82,4.45,0.19,1.99,0.28,0.48,92.61
NASH,601.0,51021.0,18.91,34646.73,72.24,23.53,0.48,0.72,1.67,1.35
DICKERSON,602.0,51017.0,18.91,34665.64,65.09,30.91,0.33,0.43,1.87,1.38
BOND,603.0,50980.0,18.9,34684.54,78.18,17.05,0.57,0.83,1.75,1.62
WYATT,604.0,50874.0,18.86,34703.4,77.88,17.93,0.34,0.55,1.5,1.8
FOLEY,605.0,50852.0,18.85,34722.25,93.6,3.27,0.54,0.26,1.02,1.32
CHASE,606.0,50777.0,18.82,34741.07,83.65,10.98,0.52,1.6,1.55,1.7
GATES,607.0,50748.0,18.81,34759.88,77.13,18.66,0.48,0.71,1.49,1.52
VINCENT,608.0,50628.0,18.77,34778.65,82.26,12.05,0.94,0.6,1.83,2.33
MATHEWS,609.0,50608.0,18.76,34797.41,76.9,15.77,2.81,0.62,1.8,2.1
HODGE,610.0,50577.0,18.75,34816.16,71.1,24.27,0.38,0.62,1.73,1.89
GARRISON,611.0,50482.0,18.71,34834.87,85.31,10.45,0.4,0.72,1.5,1.62
TREVINO,612.0,50454.0,18.7,34853.58,7.41,0.22,0.17,0.49,0.38,91.33
VILLARREAL,613.0,50351.0,18.66,34872.24,6.57,0.16,0.18,0.22,0.34,92.53
HEATH,614.0,50307.0,18.65,34890.89,82.73,13.48,0.4,0.62,1.29,1.49
DALTON,615.0,50166.0,18.6,34909.49,88.39,7.51,0.4,0.69,1.35,1.66
VALENCIA,616.0,50026.0,18.54,34928.03,5.89,0.54,3.58,1.39,0.58,88.02
CALLAHAN,617.0,49925.0,18.51,34946.54,91.29,5.1,0.42,0.52,1.21,1.45
HENSLEY,618.0,49858.0,18.48,34965.02,94.24,1.61,0.34,0.93,1.39,1.49
ATKINS,619.0,49754.0,18.44,34983.46,70.28,25.51,0.39,0.56,1.82,1.44
HUFFMAN,620.0,49737.0,18.44,35001.9,92.88,3.92,0.33,0.54,1.13,1.2
ROY,621.0,49725.0,18.43,35020.33,79.9,9.25,5.58,1.62,1.8,1.85
BOYER,622.0,49601.0,18.39,35038.72,90.58,4.93,0.52,0.61,1.4,1.95
SHIELDS,623.0,49556.0,18.37,35057.09,78.28,17.26,0.42,1.03,1.53,1.47
LIN,624.0,49360.0,18.3,35075.39,2.29,0.13,95.13,0.03,2.02,0.4
HANCOCK,625.0,49330.0,18.29,35093.68,88.67,7.61,0.36,0.56,1.4,1.41
GRIMES,626.0,49245.0,18.25,35111.93,77.42,18.51,0.3,0.56,1.6,1.61
GLENN,627.0,49241.0,18.25,35130.18,63.64,32.18,0.36,0.6,1.62,1.61
CLINE,628.0,49167.0,18.23,35148.41,94.18,2.1,0.35,0.81,1.16,1.4
DELACRUZ,629.0,49158.0,18.22,35166.63,4.54,0.47,18.24,0.26,1.63,74.85
CAMACHO,630.0,49000.0,18.16,35184.8,7.13,0.57,2.77,0.22,0.88,88.43
DILLON,631.0,48833.0,18.1,35202.9,86.04,9.08,0.79,1.0,1.36,1.73
PARRISH,632.0,48823.0,18.1,35221.0,81.95,13.54,0.38,1.16,1.52,1.46
ONEILL,633.0,48656.0,18.04,35239.03,94.28,1.01,0.54,0.22,1.2,2.75
MELTON,634.0,48594.0,18.01,35257.05,82.29,13.59,0.41,0.94,1.42,1.36
BOOTH,635.0,48580.0,18.01,35275.06,85.15,10.32,0.52,1.02,1.46,1.53
KANE,636.0,48527.0,17.99,35293.05,91.64,3.38,1.5,0.54,1.32,1.62
BERG,637.0,48480.0,17.97,35311.02,95.91,0.39,0.54,0.4,1.12,1.63
HARRELL,638.0,48471.0,17.97,35328.99,68.77,27.8,0.3,0.44,1.45,1.24
PITTS,639.0,48462.0,17.96,35346.95,65.91,30.26,0.31,0.52,1.61,1.4
SAVAGE,640.0,48367.0,17.93,35364.88,77.24,18.59,0.42,0.67,1.61,1.46
WIGGINS,641.0,48355.0,17.93,35382.8,57.23,38.71,0.29,0.59,1.63,1.56
BRENNAN,642.0,48296.0,17.9,35400.71,95.97,0.69,0.59,0.3,0.95,1.5
SALAS,643.0,48282.0,17.9,35418.61,6.83,0.32,2.05,0.48,0.66,89.67
MARKS,644.0,48281.0,17.9,35436.5,81.35,13.47,0.58,0.9,1.82,1.89
RUSSO,645.0,48126.0,17.84,35454.34,95.14,0.35,0.37,0.17,1.17,2.79
SAWYER,646.0,47979.0,17.79,35472.13,82.52,13.29,0.52,0.59,1.59,1.49
BAXTER,647.0,47857.0,17.74,35489.87,82.59,13.24,0.48,0.68,1.46,1.54
GOLDEN,648.0,47839.0,17.73,35507.6,76.78,19.22,0.35,0.65,1.47,1.53
HUTCHINSON,649.0,47809.0,17.72,35525.33,78.4,17.0,0.5,0.6,1.77,1.72
LIU,650.0,47665.0,17.67,35543.0,1.83,0.15,95.46,0.04,2.06,0.46
WALTER,651.0,47615.0,17.65,35560.65,90.17,5.96,0.61,0.42,1.22,1.62
MCDOWELL,652.0,47526.0,17.62,35578.26,72.22,23.85,0.38,0.54,1.55,1.46
WILEY,653.0,47503.0,17.61,35595.87,67.53,28.42,0.38,0.59,1.68,1.4
RICH,654.0,47477.0,17.6,35613.47,86.98,8.91,0.55,0.58,1.36,1.62
HUMPHREY,655.0,47470.0,17.6,35631.07,74.03,21.94,0.33,0.64,1.56,1.5
JOHNS,656.0,47289.0,17.53,35648.6,81.25,12.7,0.67,1.98,1.84,1.56
KOCH,657.0,47286.0,17.53,35666.13,96.89,0.19,0.54,0.23,0.88,1.26
SUAREZ,658.0,47235.0,17.51,35683.64,9.32,0.67,2.11,0.2,0.45,87.25
HOBBS,659.0,47220.0,17.5,35701.14,80.8,15.36,0.33,0.66,1.43,1.42
BEARD,660.0,47128.0,17.47,35718.61,77.09,18.93,0.33,0.65,1.55,1.45
GILMORE,661.0,47050.0,17.44,35736.05,68.2,27.09,0.36,0.86,1.75,1.75
IBARRA,662.0,46895.0,17.38,35753.44,3.24,0.14,1.42,0.19,0.33,94.67
KEITH,663.0,46747.0,17.33,35770.77,81.17,14.1,0.52,1.04,1.56,1.61
MACIAS,664.0,46739.0,17.33,35788.09,5.26,0.18,0.29,0.26,0.37,93.64
KHAN,665.0,46713.0,17.32,35805.41,7.92,3.26,70.5,0.47,15.63,2.22
ANDRADE,666.0,46702.0,17.31,35822.72,16.92,1.67,1.72,0.25,5.02,74.41
WARE,667.0,46682.0,17.3,35840.03,51.5,43.85,0.36,0.78,1.95,1.56
STEPHENSON,668.0,46662.0,17.3,35857.32,83.02,12.49,0.46,0.6,1.67,1.77
HENSON,669.0,46609.0,17.28,35874.6,84.46,10.34,0.77,1.17,1.78,1.48
WILKERSON,670.0,46605.0,17.28,35891.88,66.92,28.77,0.37,0.61,1.82,1.51
DYER,671.0,46574.0,17.26,35909.14,85.82,10.08,0.44,0.6,1.47,1.6
MCCLURE,672.0,46505.0,17.24,35926.38,86.71,9.19,0.4,0.7,1.54,1.46
BLACKWELL,673.0,46495.0,17.24,35943.62,67.71,28.04,0.29,0.68,2.0,1.28
MERCADO,674.0,46437.0,17.21,35960.83,5.68,0.56,6.43,0.19,0.85,86.29
TANNER,675.0,46412.0,17.2,35978.04,84.06,11.26,0.45,1.01,1.61,1.61
EATON,676.0,46403.0,17.2,35995.24,86.74,9.49,0.44,0.61,1.24,1.48
CLAY,677.0,46264.0,17.15,36012.39,55.4,39.83,0.32,0.95,2.07,1.42
BARRON,678.0,46196.0,17.12,36029.51,53.82,9.41,0.58,0.47,1.06,34.66
BEASLEY,679.0,46179.0,17.12,36046.63,69.02,27.01,0.34,0.7,1.63,1.3
ONEAL,680.0,46161.0,17.11,36063.74,66.96,28.52,0.33,0.77,1.75,1.66
PRESTON,681.0,45850.0,17.0,36080.74,75.24,19.95,0.45,0.99,1.62,1.75
SMALL,681.0,45850.0,17.0,36097.74,64.63,30.53,0.41,1.14,1.71,1.58
WU,683.0,45815.0,16.98,36114.72,1.32,0.19,95.94,0.02,2.0,0.52
ZAMORA,684.0,45806.0,16.98,36131.7,5.99,0.22,2.37,0.37,0.53,90.52
MACDONALD,685.0,45782.0,16.97,36148.67,95.05,1.04,0.65,0.29,1.2,1.77
VANCE,686.0,45763.0,16.96,36165.63,83.42,12.46,0.39,0.71,1.51,1.51
SNOW,687.0,45689.0,16.94,36182.57,86.75,8.55,0.48,1.43,1.49,1.3
MCCLAIN,688.0,45560.0,16.89,36199.46,64.2,31.73,0.29,0.4,1.92,1.45
STAFFORD,689.0,45349.0,16.81,36216.27,81.14,14.72,0.35,0.78,1.53,1.48
OROZCO,690.0,45289.0,16.79,36233.06,3.86,0.12,0.39,0.27,0.28,95.07
BARRY,691.0,45044.0,16.7,36249.76,89.21,6.83,0.57,0.41,1.24,1.74
ENGLISH,692.0,45032.0,16.69,36266.45,74.07,21.27,0.56,0.61,1.82,1.66
SHANNON,693.0,44902.0,16.65,36283.1,77.39,18.73,0.45,0.38,1.55,1.5
KLINE,694.0,44900.0,16.64,36299.74,95.38,1.55,0.45,0.33,0.94,1.35
JACOBSON,695.0,44874.0,16.63,36316.37,96.05,0.38,0.53,0.48,1.09,1.47
WOODARD,696.0,44830.0,16.62,36332.99,62.49,33.58,0.3,0.49,1.72,1.41
HUANG,697.0,44715.0,16.58,36349.57,1.03,0.09,96.83,0.02,1.74,0.29
KEMP,698.0,44701.0,16.57,36366.14,73.76,22.17,0.37,0.64,1.71,1.34
MOSLEY,699.0,44698.0,16.57,36382.71,42.69,52.83,0.26,0.53,2.18,1.51
PRINCE,700.0,44640.0,16.55,36399.26,70.04,24.75,0.5,0.75,1.77,2.2
MERRITT,701.0,44626.0,16.54,36415.8,77.23,18.95,0.44,0.61,1.48,1.29
HURST,702.0,44587.0,16.53,36432.33,86.51,10.0,0.36,0.48,1.18,1.47
VILLANUEVA,703.0,44570.0,16.52,36448.85,4.88,0.39,12.52,0.23,1.23,80.75
ROACH,704.0,44454.0,16.48,36465.33,82.24,13.23,0.44,0.76,1.58,1.76
NOLAN,705.0,44421.0,16.47,36481.8,88.58,7.24,0.41,0.52,1.23,2.02
LAM,706.0,44385.0,16.45,36498.25,7.82,0.42,87.47,0.07,2.14,2.08
YODER,707.0,44245.0,16.4,36514.65,98.11,0.14,0.18,0.18,0.71,0.68
MCCULLOUGH,708.0,44123.0,16.36,36531.01,75.87,20.44,0.39,0.38,1.41,1.51
LESTER,709.0,43919.0,16.28,36547.29,77.72,18.1,0.29,1.08,1.32,1.49
SANTANA,710.0,43875.0,16.26,36563.55,6.2,1.14,0.45,0.19,0.88,91.13
VALENZUELA,711.0,43770.0,16.23,36579.78,5.55,0.21,2.36,2.06,0.63,89.18
WINTERS,712.0,43762.0,16.22,36596.0,81.09,14.47,0.53,0.71,1.57,1.64
BARRERA,713.0,43720.0,16.21,36612.21,5.79,0.24,1.34,0.19,0.4,92.03
LEACH,714.0,43666.0,16.19,36628.39,82.67,13.26,0.44,0.79,1.4,1.44
ORR,714.0,43666.0,16.19,36644.58,81.82,13.99,0.58,0.71,1.41,1.49
BERGER,716.0,43556.0,16.15,36660.73,93.9,2.39,0.49,0.35,1.18,1.69
MCKEE,717.0,43555.0,16.15,36676.87,89.46,6.28,0.51,0.84,1.49,1.42
STRONG,718.0,43430.0,16.1,36692.97,69.4,25.19,0.53,1.44,1.73,1.72
CONWAY,719.0,43395.0,16.09,36709.06,83.65,12.16,0.43,0.65,1.49,1.62
STEIN,720.0,43331.0,16.06,36725.12,95.59,0.9,0.51,0.29,1.1,1.63
WHITEHEAD,721.0,43310.0,16.05,36741.17,72.87,23.3,0.32,0.67,1.36,1.47
BULLOCK,722.0,43021.0,15.95,36757.12,64.13,32.0,0.33,0.53,1.66,1.34
ESCOBAR,723.0,42955.0,15.92,36773.05,6.32,0.46,1.83,0.29,0.54,90.56
KNOX,724.0,42937.0,15.92,36788.96,65.71,30.25,0.37,0.65,1.62,1.4
MEADOWS,725.0,42884.0,15.9,36804.86,82.93,13.59,0.27,0.42,1.42,1.36
SOLOMON,726.0,42839.0,15.88,36820.74,62.53,29.65,2.21,1.21,2.2,2.2
VELEZ,727.0,42820.0,15.87,36836.61,7.22,0.97,0.8,0.09,0.57,90.35
ODONNELL,728.0,42802.0,15.87,36852.48,96.46,0.38,0.47,0.18,1.01,1.51
KERR,729.0,42758.0,15.85,36868.33,89.19,6.31,0.64,0.56,1.63,1.67
STOUT,730.0,42669.0,15.82,36884.15,93.47,2.19,0.39,0.82,1.46,1.68
BLANKENSHIP,731.0,42663.0,15.82,36899.96,94.98,1.8,0.25,0.67,1.25,1.04
BROWNING,732.0,42642.0,15.81,36915.77,88.99,7.06,0.42,0.73,1.33,1.47
KENT,733.0,42597.0,15.79,36931.56,86.06,9.88,0.62,0.59,1.48,1.37
LOZANO,734.0,42567.0,15.78,36947.34,6.6,0.26,1.66,0.26,0.44,90.78
BARTLETT,735.0,42512.0,15.76,36963.1,92.43,3.37,0.5,0.54,1.47,1.69
PRUITT,736.0,42463.0,15.74,36978.84,75.13,20.8,0.25,0.74,1.68,1.4
BUCK,737.0,42441.0,15.73,36994.57,89.86,5.42,0.62,1.42,1.38,1.3
BARR,738.0,42432.0,15.73,37010.3,84.99,10.98,0.49,0.91,1.16,1.48
GAINES,739.0,42369.0,15.71,37026.01,45.12,50.27,0.32,0.56,2.06,1.67
DURHAM,740.0,42365.0,15.7,37041.71,75.5,20.74,0.32,0.6,1.54,1.31
GENTRY,741.0,42357.0,15.7,37057.41,84.11,11.83,0.31,0.63,1.51,1.6
MCINTYRE,742.0,42335.0,15.69,37073.11,81.17,15.14,0.47,0.41,1.31,1.5
SLOAN,743.0,42281.0,15.67,37088.78,81.91,13.08,0.42,1.58,1.44,1.57
MELENDEZ,744.0,42139.0,15.62,37104.4,5.63,1.0,0.46,0.31,0.56,92.04
ROCHA,744.0,42139.0,15.62,37120.02,17.47,0.42,0.58,0.37,2.05,79.11
HERMAN,746.0,42091.0,15.6,37135.63,92.35,3.01,0.64,0.94,1.1,1.96
SEXTON,747.0,42080.0,15.6,37151.22,92.92,3.38,0.33,0.73,1.25,1.39
MOON,748.0,42062.0,15.59,37166.82,70.43,10.28,14.85,1.05,1.89,1.5
HENDRICKS,749.0,41879.0,15.52,37182.34,78.17,16.55,0.53,1.26,1.77,1.72
RANGEL,750.0,41868.0,15.52,37197.86,6.08,0.23,0.26,0.26,0.4,92.77
STARK,751.0,41863.0,15.52,37213.38,93.71,2.4,0.47,0.7,1.22,1.49
LOWERY,752.0,41670.0,15.45,37228.83,70.35,22.05,0.27,4.39,1.64,1.3
HARDIN,753.0,41664.0,15.44,37244.27,79.56,15.62,0.36,1.29,1.69,1.47
HULL,754.0,41656.0,15.44,37259.71,87.34,8.23,0.45,0.79,1.44,1.75
SELLERS,755.0,41561.0,15.41,37275.12,78.89,16.91,0.42,0.9,1.42,1.46
ELLISON,756.0,41459.0,15.37,37290.49,68.41,27.61,0.4,0.64,1.54,1.4
CALHOUN,757.0,41452.0,15.37,37305.85,64.38,31.86,0.38,0.47,1.7,1.21
GILLESPIE,758.0,41393.0,15.34,37321.2,83.59,12.8,0.33,0.55,1.18,1.56
MORA,759.0,41348.0,15.33,37336.53,8.64,0.42,1.05,0.36,0.4,89.12
KNAPP,760.0,41267.0,15.3,37351.82,95.9,0.55,0.39,0.5,1.14,1.52
MCCALL,761.0,41231.0,15.28,37367.11,68.45,27.69,0.35,0.44,1.52,1.56
MORSE,762.0,41112.0,15.24,37382.35,91.55,4.35,0.61,0.52,1.55,1.42
DORSEY,763.0,41104.0,15.24,37397.59,43.97,51.81,0.29,0.44,2.27,1.22
WEEKS,764.0,41053.0,15.22,37412.8,86.04,9.64,0.49,0.78,1.41,1.64
NIELSEN,765.0,41007.0,15.2,37428.0,95.63,0.29,0.65,0.5,1.23,1.7
LIVINGSTON,766.0,40964.0,15.19,37443.19,74.69,19.78,0.48,1.83,1.53,1.69
LEBLANC,767.0,40923.0,15.17,37458.36,88.09,7.94,0.36,0.58,1.27,1.76
MCLEAN,768.0,40871.0,15.15,37473.51,70.6,24.8,0.46,0.54,1.8,1.79
BRADSHAW,769.0,40794.0,15.12,37488.63,80.46,15.58,0.35,0.53,1.52,1.56
GLASS,770.0,40724.0,15.1,37503.73,79.39,16.46,0.4,0.85,1.42,1.47
MIDDLETON,771.0,40708.0,15.09,37518.82,69.3,27.04,0.34,0.45,1.58,1.28
BUCKLEY,772.0,40706.0,15.09,37533.91,85.21,10.72,0.46,0.64,1.25,1.71
SCHAEFER,773.0,40663.0,15.07,37548.98,96.61,0.38,0.51,0.29,0.95,1.26
FROST,774.0,40582.0,15.04,37564.03,88.0,7.34,0.6,0.88,1.68,1.5
HOWE,775.0,40555.0,15.03,37579.06,92.25,2.77,0.76,1.22,1.52,1.48
HOUSE,776.0,40477.0,15.0,37594.06,77.33,17.85,0.35,1.61,1.56,1.3
MCINTOSH,777.0,40453.0,15.0,37609.06,72.78,22.22,0.37,1.14,1.96,1.52
HO,778.0,40413.0,14.98,37624.04,2.69,0.26,93.08,0.06,2.99,0.92
PENNINGTON,779.0,40339.0,14.95,37639.0,89.36,7.05,0.32,0.53,1.46,1.29
REILLY,780.0,40310.0,14.94,37653.94,96.07,0.56,0.54,0.14,1.04,1.66
HEBERT,781.0,40283.0,14.93,37668.87,91.99,4.74,0.29,0.41,1.11,1.45
MCFARLAND,782.0,40244.0,14.92,37683.79,80.85,15.39,0.45,0.51,1.33,1.47
HICKMAN,783.0,40224.0,14.91,37698.7,77.49,17.87,0.38,1.12,1.6,1.53
NOBLE,784.0,40217.0,14.91,37713.61,80.83,13.46,1.07,0.66,1.8,2.17
SPEARS,785.0,40203.0,14.9,37728.51,69.54,25.63,0.32,1.4,1.73,1.37
CONRAD,786.0,40102.0,14.87,37743.38,93.61,2.82,0.5,0.59,1.07,1.41
ARIAS,787.0,40086.0,14.86,37758.24,5.8,0.38,0.94,0.22,0.46,92.21
GALVAN,788.0,40046.0,14.84,37773.08,6.87,0.21,0.61,0.39,0.37,91.54
VELAZQUEZ,789.0,40030.0,14.84,37787.92,3.96,0.51,0.13,0.21,0.28,94.89
HUYNH,790.0,40011.0,14.83,37802.75,1.02,0.11,96.17,0.03,2.04,0.63
FREDERICK,791.0,39909.0,14.79,37817.55,82.9,12.8,0.49,0.79,1.49,1.53
RANDOLPH,792.0,39742.0,14.73,37832.28,58.2,37.29,0.4,0.69,2.06,1.38
CANTU,793.0,39601.0,14.68,37846.96,7.67,0.54,0.16,0.26,0.4,90.96
FITZPATRICK,794.0,39501.0,14.64,37861.6,87.12,9.21,0.5,0.37,1.22,1.58
MAHONEY,795.0,39440.0,14.62,37876.22,92.62,4.09,0.47,0.24,1.16,1.42
PECK,796.0,39432.0,14.62,37890.84,92.39,3.45,0.66,0.48,1.38,1.63
VILLA,797.0,39402.0,14.61,37905.45,10.17,0.43,2.09,0.41,0.64,86.25
MICHAEL,798.0,39369.0,14.59,37920.04,86.36,7.62,1.13,0.73,1.93,2.23
DONOVAN,799.0,39270.0,14.56,37934.6,94.59,1.7,0.53,0.23,1.08,1.87
MCCONNELL,800.0,39203.0,14.53,37949.13,90.56,5.67,0.41,0.72,1.4,1.24
WALLS,801.0,39166.0,14.52,37963.65,70.97,25.0,0.28,0.66,1.65,1.43
BOYLE,802.0,39141.0,14.51,37978.16,95.02,1.83,0.42,0.3,0.89,1.54
MAYER,803.0,39111.0,14.5,37992.66,94.55,1.17,0.66,0.3,1.13,2.19
ZUNIGA,804.0,39057.0,14.48,38007.13,4.57,0.42,0.76,0.29,0.34,93.62
GILES,805.0,39002.0,14.46,38021.59,67.59,26.14,0.35,0.5,1.65,3.77
PINEDA,806.0,38999.0,14.46,38036.05,4.29,0.35,5.46,0.15,0.52,89.23
PACE,807.0,38975.0,14.45,38050.5,80.08,15.91,0.47,0.43,1.52,1.59
HURLEY,808.0,38971.0,14.45,38064.94,91.9,4.48,0.52,0.62,1.24,1.24
MAYS,809.0,38914.0,14.43,38079.37,57.59,38.43,0.28,0.47,1.85,1.37
MCMILLAN,810.0,38896.0,14.42,38093.79,70.88,24.45,0.42,1.16,1.76,1.33
CROSBY,811.0,38844.0,14.4,38108.19,72.62,23.1,0.42,0.79,1.44,1.63
AYERS,812.0,38836.0,14.4,38122.58,85.0,11.37,0.44,0.43,1.55,1.21
CASE,813.0,38759.0,14.37,38136.95,93.55,2.0,0.58,1.04,1.34,1.49
BENTLEY,814.0,38714.0,14.35,38151.3,84.0,12.12,0.43,0.45,1.4,1.61
SHEPARD,815.0,38705.0,14.35,38165.65,78.43,17.14,0.43,0.9,1.48,1.62
EVERETT,816.0,38702.0,14.35,38180.0,71.64,23.31,0.39,0.63,1.6,2.43
PUGH,817.0,38691.0,14.34,38194.34,69.78,26.94,0.36,0.4,1.32,1.2
DAVID,818.0,38659.0,14.33,38208.67,65.29,13.75,10.5,1.84,2.6,6.03
MCMAHON,819.0,38557.0,14.29,38222.96,94.85,1.97,0.49,0.22,1.05,1.42
DUNLAP,820.0,38516.0,14.28,38237.24,77.58,18.61,0.32,0.61,1.49,1.39
BENDER,821.0,38464.0,14.26,38251.5,90.21,6.15,0.46,0.61,1.27,1.29
HAHN,822.0,38354.0,14.22,38265.72,91.64,0.38,5.2,0.28,1.24,1.27
HARDING,823.0,38340.0,14.21,38279.93,82.19,13.2,0.55,0.81,1.64,1.62
ACEVEDO,824.0,38232.0,14.17,38294.1,5.58,0.67,0.4,0.23,0.49,92.63
RAYMOND,825.0,38158.0,14.15,38308.25,82.76,11.12,0.79,0.88,2.08,2.38
BLACKBURN,826.0,38137.0,14.14,38322.38,88.9,7.01,0.37,0.83,1.47,1.41
DUFFY,827.0,37962.0,14.07,38336.46,92.13,4.13,0.62,0.47,1.16,1.5
LANDRY,828.0,37961.0,14.07,38350.53,84.84,11.98,0.39,0.37,1.18,1.23
DOUGHERTY,829.0,37903.0,14.05,38364.58,95.88,1.0,0.42,0.29,0.93,1.49
BAUTISTA,830.0,37847.0,14.03,38378.61,3.76,0.3,22.04,0.49,1.85,71.56
SHAH,831.0,37833.0,14.02,38392.63,4.05,1.14,87.8,0.24,5.88,0.89
POTTS,832.0,37687.0,13.97,38406.6,81.77,13.81,0.41,1.25,1.45,1.3
ARROYO,833.0,37678.0,13.97,38420.57,5.26,0.68,1.01,0.18,0.38,92.48
VALENTINE,834.0,37669.0,13.96,38434.54,68.97,22.19,0.45,0.54,1.77,6.07
MEZA,835.0,37662.0,13.96,38448.5,4.25,0.29,0.17,0.3,0.25,94.73
GOULD,836.0,37660.0,13.96,38462.46,88.59,6.7,0.53,1.29,1.46,1.42
VAUGHAN,837.0,37591.0,13.93,38476.39,84.03,12.38,0.37,0.49,1.33,1.39
FRY,838.0,37542.0,13.92,38490.31,92.6,3.13,0.5,0.9,1.43,1.45
RUSH,839.0,37470.0,13.89,38504.2,76.89,19.33,0.41,0.58,1.32,1.47
AVERY,840.0,37440.0,13.88,38518.08,72.69,23.06,0.44,0.73,1.67,1.42
HERRING,841.0,37353.0,13.85,38531.92,74.74,21.57,0.39,0.39,1.41,1.5
DODSON,842.0,37298.0,13.83,38545.75,83.09,12.23,0.42,1.13,1.61,1.51
CLEMENTS,843.0,37237.0,13.8,38559.55,86.47,9.71,0.38,0.55,1.44,1.46
SAMPSON,844.0,37234.0,13.8,38573.36,62.78,28.87,0.62,3.81,2.16,1.76
TAPIA,845.0,37201.0,13.79,38587.15,5.19,0.29,0.66,0.53,0.47,92.87
BEAN,846.0,37145.0,13.77,38600.92,83.01,12.77,0.45,0.86,1.48,1.45
LYNN,847.0,37125.0,13.76,38614.68,86.49,8.78,0.96,0.68,1.4,1.68
CRANE,848.0,37123.0,13.76,38628.44,91.58,4.27,0.54,0.68,1.3,1.62
FARLEY,849.0,37116.0,13.76,38642.2,85.58,10.34,0.43,0.75,1.39,1.52
CISNEROS,850.0,37050.0,13.73,38655.93,4.98,0.27,0.18,0.22,0.31,94.05
BENTON,851.0,37032.0,13.73,38669.66,71.59,23.99,0.44,0.82,1.68,1.49
ASHLEY,852.0,37021.0,13.72,38683.38,74.37,19.6,0.39,2.36,1.7,1.58
MCKAY,853.0,36948.0,13.7,38697.08,82.16,12.95,0.52,1.11,1.64,1.63
FINLEY,854.0,36874.0,13.67,38710.75,74.74,20.65,0.42,1.2,1.58,1.41
BEST,855.0,36862.0,13.66,38724.41,73.73,22.04,0.33,0.53,1.48,1.88
BLEVINS,856.0,36841.0,13.66,38738.07,91.1,4.76,0.29,1.03,1.67,1.15
FRIEDMAN,857.0,36833.0,13.65,38751.72,96.54,0.46,0.4,0.11,1.26,1.22
MOSES,858.0,36814.0,13.65,38765.37,57.92,33.8,1.5,2.86,2.24,1.68
SOSA,859.0,36813.0,13.65,38779.02,5.76,0.44,0.65,0.21,0.49,92.45
BLANCHARD,860.0,36764.0,13.63,38792.65,87.06,8.63,0.41,0.86,1.38,1.67
HUBER,861.0,36729.0,13.62,38806.26,96.62,0.35,0.45,0.31,0.98,1.3
FRYE,862.0,36716.0,13.61,38819.87,84.31,11.53,0.41,0.92,1.49,1.35
KRUEGER,863.0,36694.0,13.6,38833.47,97.06,0.16,0.43,0.29,0.9,1.15
BERNARD,864.0,36546.0,13.55,38847.02,67.36,23.32,0.77,0.73,2.2,5.62
